userid,courseid,sectionid,type,avg_quiz_score,completion_rate,quiz_passed,cluster,time
4,5,42,quiz,1.77,1.0,1,0.0,1754702789
4,5,42,hvp,1.77,1.0,1,0.0,1754702809
4,5,40,resource,1.77,1.0,1,0.0,1754702832
4,5,40,hvp,1.77,1.0,1,0.0,1754702862
4,5,38,resource,1.77,1.0,0,0.0,1754703555
4,5,38,quiz,1.77,1.0,0,0.0,1754703577
4,5,38,quiz,1.77,1.0,0,0.0,1754703609
4,5,39,resource,1.77,1.0,0,0.0,1754703647
4,5,40,quiz,1.77,1.0,1,0.0,1754703669
4,5,40,quiz,1.77,1.0,1,0.0,1754703709
4,5,40,hvp,1.77,1.0,1,0.0,1754703780
4,5,40,resource,1.77,1.0,1,0.0,1754703799
4,5,38,resource,1.77,1.0,0,0.0,1754703856
4,5,38,resource,1.77,1.0,0,0.0,1754704678
4,5,38,hvp,1.77,1.0,0,0.0,1754704695
4,5,38,quiz,1.77,1.0,0,0.0,1754704707
4,5,42,quiz,1.77,1.0,1,0.0,1754704714
4,5,42,quiz,1.77,1.0,1,0.0,1754704729
4,5,38,resource,1.77,1.0,0,0.0,1754705864
4,5,38,quiz,1.77,1.0,0,0.0,1754705875
4,5,38,quiz,1.77,1.0,0,0.0,1754705877
4,5,38,resource,1.77,1.0,0,0.0,1754705880
4,5,41,resource,1.77,0.5,1,0.0,1754705912
4,5,42,quiz,1.77,1.0,1,0.0,1754705932
4,5,42,quiz,1.77,1.0,1,0.0,1754705947
4,5,42,quiz,1.77,1.0,1,0.0,1754455048
4,5,38,resource,1.77,1.0,0,0.0,1754455058
4,5,38,hvp,1.77,1.0,0,0.0,1754455472
4,5,42,quiz,1.77,1.0,1,0.0,1754457440
4,5,42,quiz,1.77,1.0,1,0.0,1754457459
4,5,42,quiz,1.77,1.0,1,0.0,1754459224
4,5,38,hvp,1.77,1.0,0,0.0,1754459231
4,5,38,quiz,1.77,1.0,0,0.0,1754459238
4,5,38,resource,1.77,1.0,0,0.0,1754459245
4,5,38,hvp,1.77,1.0,0,0.0,1754459252
4,5,38,resource,1.77,1.0,0,0.0,1754460338
4,5,38,quiz,1.77,1.0,0,0.0,1754460351
4,5,39,hvp,1.77,1.0,0,0.0,1754460822
4,5,39,resource,1.77,1.0,0,0.0,1754460834
4,5,39,quiz,1.77,1.0,0,0.0,1754460844
4,5,39,quiz,1.77,1.0,0,0.0,1754460871
4,5,42,hvp,1.77,1.0,1,0.0,1754461311
4,5,42,quiz,1.77,1.0,1,0.0,1754461324
4,5,42,quiz,1.77,1.0,1,0.0,1754461373
4,5,38,quiz,1.77,1.0,0,0.0,1754461485
4,5,42,resource,1.77,1.0,1,0.0,1754659930
4,5,42,quiz,1.77,1.0,1,0.0,1754659941
4,5,42,quiz,1.77,1.0,1,0.0,1754659964
4,5,42,quiz,1.77,1.0,1,0.0,1754702789
4,5,42,hvp,1.77,1.0,1,0.0,1754702809
4,5,40,resource,1.77,1.0,1,0.0,1754702832
4,5,40,hvp,1.77,1.0,1,0.0,1754702862
4,5,38,resource,1.77,1.0,0,0.0,1754703555
4,5,38,quiz,1.77,1.0,0,0.0,1754703577
4,5,38,quiz,1.77,1.0,0,0.0,1754703609
4,5,39,resource,1.77,1.0,0,0.0,1754703647
4,5,40,quiz,1.77,1.0,1,0.0,1754703669
4,5,40,quiz,1.77,1.0,1,0.0,1754703709
4,5,40,hvp,1.77,1.0,1,0.0,1754703780
4,5,40,resource,1.77,1.0,1,0.0,1754703799
4,5,38,resource,1.77,1.0,0,0.0,1754703856
4,5,38,resource,1.77,1.0,0,0.0,1754704678
4,5,38,hvp,1.77,1.0,0,0.0,1754704695
4,5,38,quiz,1.77,1.0,0,0.0,1754704707
4,5,42,quiz,1.77,1.0,1,0.0,1754704714
4,5,42,quiz,1.77,1.0,1,0.0,1754704729
4,5,38,resource,1.77,1.0,0,0.0,1754705864
4,5,38,quiz,1.77,1.0,0,0.0,1754705875
4,5,38,quiz,1.77,1.0,0,0.0,1754705877
4,5,38,resource,1.77,1.0,0,0.0,1754705880
4,5,41,resource,1.77,0.5,1,0.0,1754705912
4,5,42,quiz,1.77,1.0,1,0.0,1754705932
4,5,42,quiz,1.77,1.0,1,0.0,1754705947
4,5,38,quiz,1.77,1.0,0,0.0,1754706355
4,5,38,quiz,1.7,1.0,0,0.0,1754706371
4,5,42,quiz,1.7,1.0,1,0.0,1754706504
4,5,42,quiz,1.71,1.0,1,0.0,1754706519
4,5,42,quiz,1.71,1.0,1,0.0,1754455048
4,5,38,resource,1.71,1.0,0,0.0,1754455058
4,5,38,hvp,1.71,1.0,0,0.0,1754455472
4,5,42,quiz,1.71,1.0,1,0.0,1754457440
4,5,42,quiz,1.71,1.0,1,0.0,1754457459
4,5,42,quiz,1.71,1.0,1,0.0,1754459224
4,5,38,hvp,1.71,1.0,0,0.0,1754459231
4,5,38,quiz,1.71,1.0,0,0.0,1754459238
4,5,38,resource,1.71,1.0,0,0.0,1754459245
4,5,38,hvp,1.71,1.0,0,0.0,1754459252
4,5,38,resource,1.71,1.0,0,0.0,1754460338
4,5,38,quiz,1.71,1.0,0,0.0,1754460351
4,5,39,hvp,1.71,1.0,0,0.0,1754460822
4,5,39,resource,1.71,1.0,0,0.0,1754460834
4,5,39,quiz,1.71,1.0,0,0.0,1754460844
4,5,39,quiz,1.71,1.0,0,0.0,1754460871
4,5,42,hvp,1.71,1.0,1,0.0,1754461311
4,5,42,quiz,1.71,1.0,1,0.0,1754461324
4,5,42,quiz,1.71,1.0,1,0.0,1754461373
4,5,38,quiz,1.71,1.0,0,0.0,1754461485
4,5,42,resource,1.71,1.0,1,0.0,1754659930
4,5,42,quiz,1.71,1.0,1,0.0,1754659941
4,5,42,quiz,1.71,1.0,1,0.0,1754659964
4,5,42,quiz,1.71,1.0,1,0.0,1754702789
4,5,42,hvp,1.71,1.0,1,0.0,1754702809
4,5,40,resource,1.71,1.0,1,0.0,1754702832
4,5,40,hvp,1.71,1.0,1,0.0,1754702862
4,5,38,resource,1.71,1.0,0,0.0,1754703555
4,5,38,quiz,1.71,1.0,0,0.0,1754703577
4,5,38,quiz,1.71,1.0,0,0.0,1754703609
4,5,39,resource,1.71,1.0,0,0.0,1754703647
4,5,40,quiz,1.71,1.0,1,0.0,1754703669
4,5,40,quiz,1.71,1.0,1,0.0,1754703709
4,5,40,hvp,1.71,1.0,1,0.0,1754703780
4,5,40,resource,1.71,1.0,1,0.0,1754703799
4,5,38,resource,1.71,1.0,0,0.0,1754703856
4,5,38,resource,1.71,1.0,0,0.0,1754704678
4,5,38,hvp,1.71,1.0,0,0.0,1754704695
4,5,38,quiz,1.71,1.0,0,0.0,1754704707
4,5,42,quiz,1.71,1.0,1,0.0,1754704714
4,5,42,quiz,1.71,1.0,1,0.0,1754704729
4,5,38,resource,1.71,1.0,0,0.0,1754705864
4,5,38,quiz,1.71,1.0,0,0.0,1754705875
4,5,38,quiz,1.71,1.0,0,0.0,1754705877
4,5,38,resource,1.71,1.0,0,0.0,1754705880
4,5,41,resource,1.71,0.5,1,0.0,1754705912
4,5,42,quiz,1.71,1.0,1,0.0,1754705932
4,5,42,quiz,1.71,1.0,1,0.0,1754705947
4,5,38,quiz,1.71,1.0,0,0.0,1754706355
4,5,38,quiz,1.71,1.0,0,0.0,1754706371
4,5,42,quiz,1.71,1.0,1,0.0,1754706504
4,5,42,quiz,1.71,1.0,1,0.0,1754706519
4,5,38,quiz,1.71,1.0,0,0.0,1754706822
4,5,38,quiz,1.64,1.0,0,0.0,1754706832
4,5,42,quiz,1.64,1.0,1,0.0,1754706859
4,5,42,quiz,1.65,1.0,1,0.0,1754706871
4,5,42,quiz,1.65,1.0,1,0.0,1754455048
4,5,38,resource,1.65,1.0,0,0.0,1754455058
4,5,38,hvp,1.65,1.0,0,0.0,1754455472
4,5,42,quiz,1.65,1.0,1,0.0,1754457440
4,5,42,quiz,1.65,1.0,1,0.0,1754457459
4,5,42,quiz,1.65,1.0,1,0.0,1754459224
4,5,38,hvp,1.65,1.0,0,0.0,1754459231
4,5,38,quiz,1.65,1.0,0,0.0,1754459238
4,5,38,resource,1.65,1.0,0,0.0,1754459245
4,5,38,hvp,1.65,1.0,0,0.0,1754459252
4,5,38,resource,1.65,1.0,0,0.0,1754460338
4,5,38,quiz,1.65,1.0,0,0.0,1754460351
4,5,39,hvp,1.65,1.0,0,0.0,1754460822
4,5,39,resource,1.65,1.0,0,0.0,1754460834
4,5,39,quiz,1.65,1.0,0,0.0,1754460844
4,5,39,quiz,1.65,1.0,0,0.0,1754460871
4,5,42,hvp,1.65,1.0,1,0.0,1754461311
4,5,42,quiz,1.65,1.0,1,0.0,1754461324
4,5,42,quiz,1.65,1.0,1,0.0,1754461373
4,5,38,quiz,1.65,1.0,0,0.0,1754461485
4,5,42,resource,1.65,1.0,1,0.0,1754659930
4,5,42,quiz,1.65,1.0,1,0.0,1754659941
4,5,42,quiz,1.65,1.0,1,0.0,1754659964
4,5,42,quiz,1.65,1.0,1,0.0,1754702789
4,5,42,hvp,1.65,1.0,1,0.0,1754702809
4,5,40,resource,1.65,1.0,1,0.0,1754702832
4,5,40,hvp,1.65,1.0,1,0.0,1754702862
4,5,38,resource,1.65,1.0,0,0.0,1754703555
4,5,38,quiz,1.65,1.0,0,0.0,1754703577
4,5,38,quiz,1.65,1.0,0,0.0,1754703609
4,5,39,resource,1.65,1.0,0,0.0,1754703647
4,5,40,quiz,1.65,1.0,1,0.0,1754703669
4,5,40,quiz,1.65,1.0,1,0.0,1754703709
4,5,40,hvp,1.65,1.0,1,0.0,1754703780
4,5,40,resource,1.65,1.0,1,0.0,1754703799
4,5,38,resource,1.65,1.0,0,0.0,1754703856
4,5,38,resource,1.65,1.0,0,0.0,1754704678
4,5,38,hvp,1.65,1.0,0,0.0,1754704695
4,5,38,quiz,1.65,1.0,0,0.0,1754704707
4,5,42,quiz,1.65,1.0,1,0.0,1754704714
4,5,42,quiz,1.65,1.0,1,0.0,1754704729
4,5,38,resource,1.65,1.0,0,0.0,1754705864
4,5,38,quiz,1.65,1.0,0,0.0,1754705875
4,5,38,quiz,1.65,1.0,0,0.0,1754705877
4,5,38,resource,1.65,1.0,0,0.0,1754705880
4,5,41,resource,1.65,0.5,1,0.0,1754705912
4,5,42,quiz,1.65,1.0,1,0.0,1754705932
4,5,42,quiz,1.65,1.0,1,0.0,1754705947
4,5,38,quiz,1.65,1.0,0,0.0,1754706355
4,5,38,quiz,1.65,1.0,0,0.0,1754706371
4,5,42,quiz,1.65,1.0,1,0.0,1754706504
4,5,42,quiz,1.65,1.0,1,0.0,1754706519
4,5,38,quiz,1.65,1.0,0,0.0,1754706822
4,5,38,quiz,1.65,1.0,0,0.0,1754706832
4,5,42,quiz,1.65,1.0,1,0.0,1754706859
4,5,42,quiz,1.65,1.0,1,0.0,1754706871
